Model,1-Day MAE,1-Day RMSE,1-Day R²,3-Day MAE,3-Day RMSE,3-Day R²,7-Day MAE,7-Day RMSE,7-Day R²
LSTM,1166.456297374612,1553.0951011207314,0.9855246072915376,1813.2471031029488,2463.0316275170176,0.964165356953421,2566.181781108482,3451.117092034588,0.9309706818508342
RNN,1055.8408203125,1414.6842845667015,0.9879897236824036,1639.615234375,2303.604783811668,0.968654215335846,2219.378173828125,3223.059571276957,0.9397924542427063
CNN,4279.875,5006.478602770614,0.8495822548866272,5060.74560546875,5800.932683629418,0.8012263774871826,5762.626953125,6576.779759122241,0.7493078112602234
Transformer,1310.57958984375,1827.0193622400393,0.9799681901931763,1844.724365234375,2604.753251269686,0.9599229097366333,2322.628662109375,3315.5663166343093,0.9362867474555969
